Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.741193,-89.128865,0.1406,-0.000621,-0.6207
13.741199,-89.128125,1.4213,-0.006274,-6.2736
13.741205,-89.127386,1.6595,-0.007325,-7.3249
13.741212,-89.126646,2.6984,-0.01191,-11.9101
13.741218,-89.125907,1.6819,-0.007424,-7.4235
13.741225,-89.125167,1.6578,-0.007317,-7.3172
13.741231,-89.124428,-1.3893,0.006132,6.1323
13.741237,-89.123688,1.2963,-0.005722,-5.7217
13.741244,-89.122949,1.2982,-0.00573,-5.73
13.74125,-89.122209,0.265,-0.00117,-1.1698
13.741256,-89.12147,2.1413,-0.009451,-9.4512
13.741263,-89.12073,-0.2485,0.001097,1.097
13.741269,-89.119991,2.1362,-0.009429,-9.4286
13.741275,-89.119251,2.3551,-0.010395,-10.3951
13.741282,-89.118512,4.727,-0.020864,-20.864
13.741288,-89.117772,2.5591,-0.011296,-11.2956
13.741295,-89.117033,0.6184,-0.002729,-2.7295
13.741301,-89.116294,2.6153,-0.011543,-11.5435
13.741307,-89.115554,4.2115,-0.018589,-18.5888
13.741314,-89.114815,1.6743,-0.00739,-7.39
13.74132,-89.114075,1.7213,-0.007598,-7.5975
13.741326,-89.113336,1.6937,-0.007476,-7.4757
13.741333,-89.112596,0.4453,-0.001966,-1.9656
13.741339,-89.111857,2.9215,-0.012895,-12.8952
13.741345,-89.111117,1.4777,-0.006522,-6.5225
13.741352,-89.110378,2.8773,-0.0127,-12.6997
13.741358,-89.109638,2.3997,-0.010592,-10.592
13.741364,-89.108899,0.8186,-0.003613,-3.6132
13.741371,-89.108159,2.3356,-0.010309,-10.3089
13.741377,-89.10742,1.6781,-0.007407,-7.4067
13.741383,-89.10668,2.4202,-0.010682,-10.6823
13.741389,-89.105941,2.5247,-0.011143,-11.1434
13.741396,-89.105201,1.6788,-0.00741,-7.41
13.741402,-89.104462,2.2579,-0.009966,-9.966
13.741408,-89.103722,2.3537,-0.010389,-10.3888
13.741415,-89.102983,2.5462,-0.011238,-11.2383
13.741421,-89.102243,3.5497,-0.015668,-15.6676
13.741427,-89.101504,3.4504,-0.01523,-15.2296
13.741434,-89.100764,2.6416,-0.011659,-11.6594
13.74144,-89.100025,2.7512,-0.012143,-12.1432
13.741446,-89.099285,2.5804,-0.011389,-11.3893
13.741453,-89.098546,1.9496,-0.008605,-8.6054
13.741459,-89.097806,1.0127,-0.00447,-4.4697
13.741465,-89.097067,1.3901,-0.006136,-6.1357
13.741471,-89.096328,2.2367,-0.009872,-9.8724
13.741478,-89.095588,2.5188,-0.011117,-11.1174
13.741484,-89.094849,1.6307,-0.007198,-7.1978
