Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.741777,-89.060092,1.5745,-0.00695,-6.9496
13.741783,-89.059353,1.5792,-0.00697,-6.9704
13.741789,-89.058613,1.5376,-0.006787,-6.7866
13.741795,-89.057874,1.4877,-0.006566,-6.5665
13.741801,-89.057134,1.4602,-0.006445,-6.4452
13.741808,-89.056395,1.4227,-0.00628,-6.2797
13.741814,-89.055655,1.3807,-0.006094,-6.094
13.74182,-89.054916,1.3528,-0.005971,-5.971
13.741826,-89.054176,1.2571,-0.005549,-5.5488
13.741832,-89.053437,1.2046,-0.005317,-5.3169
13.741838,-89.052697,1.1468,-0.005062,-5.0619
13.741845,-89.051958,1.1538,-0.005093,-5.0927
13.741851,-89.051218,1.0663,-0.004706,-4.7064
13.741857,-89.050479,1.1134,-0.004914,-4.9144
13.741863,-89.049739,1.0411,-0.004595,-4.5954
13.741869,-89.049,1.0853,-0.00479,-4.7902
13.741875,-89.04826,0.9339,-0.004122,-4.1222
13.741881,-89.047521,1.0409,-0.004594,-4.5944
13.741888,-89.046781,0.9899,-0.004369,-4.3693
13.741894,-89.046042,0.9907,-0.004373,-4.3727
13.7419,-89.045302,1.043,-0.004604,-4.6036
13.741906,-89.044563,1.2469,-0.005503,-5.5034
13.741912,-89.043823,1.1552,-0.005099,-5.0989
13.741918,-89.043084,0.8937,-0.003945,-3.9446
13.741924,-89.042344,1.0791,-0.004763,-4.7629
13.74193,-89.041605,1.17,-0.005164,-5.164
13.741937,-89.040865,0.6848,-0.003023,-3.0228
13.741943,-89.040126,0.7322,-0.003232,-3.2319
13.741949,-89.039386,0.5624,-0.002482,-2.4825
13.741955,-89.038646,1.0434,-0.004605,-4.6055
13.741961,-89.037907,0.8992,-0.003969,-3.9687
13.741967,-89.037167,0.7989,-0.003526,-3.5262
13.741973,-89.036428,0.6246,-0.002757,-2.757
13.741979,-89.035688,0.895,-0.00395,-3.9503
13.741985,-89.034949,0.9183,-0.004053,-4.0533
13.741992,-89.034209,0.5178,-0.002285,-2.2854
13.741998,-89.03347,0.3848,-0.001698,-1.6984
13.742004,-89.03273,-0.0195,8.6e-05,0.0861
13.74201,-89.031991,0.3786,-0.001671,-1.6709
13.742016,-89.031251,0.151,-0.000666,-0.6663
13.742022,-89.030512,-0.1689,0.000746,0.7456
13.742028,-89.029772,0.6718,-0.002965,-2.9651
13.742034,-89.029033,0.3222,-0.001422,-1.4222
13.74204,-89.028293,0.3227,-0.001424,-1.4243
13.742046,-89.027554,-0.4929,0.002175,2.1754
13.742052,-89.026814,0.9525,-0.004204,-4.2043
13.742059,-89.026075,0.4922,-0.002172,-2.1723
13.742065,-89.025335,1.1124,-0.00491,-4.91
13.742071,-89.024596,-0.5243,0.002314,2.314
13.742077,-89.023856,-0.9386,0.004143,4.1426
13.742083,-89.023117,0.0742,-0.000327,-0.3275
13.742089,-89.022377,0.4759,-0.002101,-2.1006
13.742095,-89.021638,2.027,-0.008947,-8.9467
13.742101,-89.020898,-0.6182,0.002729,2.7288
13.742107,-89.020159,-0.0862,0.00038,0.3804
13.742113,-89.019419,0.2675,-0.001181,-1.1808
13.742119,-89.018679,-0.9509,0.004197,4.1969
13.742125,-89.01794,-1.1117,0.004907,4.9069
13.742131,-89.0172,1.4501,-0.0064,-6.4004
13.742137,-89.016461,-0.0745,0.000329,0.3289
13.742143,-89.015721,-0.1983,0.000875,0.8751
13.742149,-89.014982,0.1394,-0.000615,-0.6153
13.742155,-89.014242,0.5478,-0.002418,-2.4178
13.742161,-89.013503,-0.3924,0.001732,1.7319
13.742168,-89.012763,-0.9555,0.004217,4.2172
13.742174,-89.012024,-0.9638,0.004254,4.2542
13.74218,-89.011284,-0.5385,0.002377,2.3767
13.742186,-89.010545,-0.213,0.00094,0.94
13.742192,-89.009805,-0.3831,0.001691,1.6911
13.742198,-89.009066,-0.1941,0.000857,0.8568
13.742204,-89.008326,-0.7222,0.003188,3.1878
13.74221,-89.007587,-0.3821,0.001687,1.6867
13.742216,-89.006847,-0.2943,0.001299,1.2988
13.742222,-89.006108,0.2327,-0.001027,-1.0273
13.742228,-89.005368,-0.7637,0.003371,3.3708
13.742234,-89.004628,-0.5312,0.002345,2.3445
13.74224,-89.003889,-0.6542,0.002888,2.8875
13.742246,-89.003149,-0.6667,0.002943,2.9428
13.742252,-89.00241,-0.3781,0.001669,1.669
13.742258,-89.00167,-0.6063,0.002676,2.676
13.742264,-89.000931,-0.4775,0.002108,2.1078
13.74227,-89.000191,-0.513,0.002264,2.2641
13.742276,-88.999452,-0.8653,0.003819,3.8192
13.742282,-88.998712,-0.3808,0.001681,1.6808
