Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1505240.0,319320.0,0.207,299.55,47.77
1505240.0,320440.0,0.3365,299.69,51.2
1505240.0,321560.0,0.0782,299.83,54.47
1505240.0,322680.0,0.7571,299.96,57.49
1505240.0,323800.0,0.1058,300.07,60.16
1505240.0,324920.0,0.171,300.16,62.36
1505240.0,326040.0,0.0252,300.23,64.01
1505240.0,327160.0,0.1389,300.27,64.98
1505240.0,328280.0,0.1668,300.28,65.13
1505240.0,329400.0,0.1431,300.25,64.55
1505240.0,330520.0,0.0908,300.21,63.41
1505240.0,331640.0,0.0846,300.14,61.86
1505240.0,332760.0,0.1162,300.07,60.08
1505240.0,333880.0,0.1134,299.99,58.23
1505240.0,335000.0,0.1122,299.92,56.46
1505240.0,336120.0,0.087,299.85,54.93
1505240.0,337240.0,0.1327,299.8,53.82
1505240.0,338360.0,0.2577,299.78,53.17
1505240.0,339480.0,0.1614,299.75,52.63
1505240.0,340600.0,0.1425,299.74,52.19
1505240.0,341720.0,0.145,299.72,51.84
1505240.0,342840.0,0.0687,299.71,51.61
1505240.0,343960.0,0.1884,299.71,51.51
1505240.0,345080.0,0.2139,299.71,51.55
1505240.0,346200.0,0.0482,299.72,51.75
1505240.0,347320.0,0.0778,299.73,52.11
1505240.0,348440.0,0.1577,299.76,52.66
1505240.0,349560.0,0.0507,299.79,53.39
1505240.0,350680.0,0.1044,299.82,54.28
1505240.0,351800.0,0.1248,299.87,55.32
1505240.0,352920.0,0.0796,299.92,56.51
1505240.0,354040.0,0.0658,299.97,57.84
1505240.0,355160.0,0.1007,300.04,59.32
1505240.0,356280.0,0.0652,300.1,60.94
1505240.0,357400.0,0.0238,300.18,62.69
1505240.0,358520.0,0.2827,300.26,64.57
1505240.0,359640.0,0.1211,300.34,66.61
1505240.0,360760.0,0.0538,300.45,69.19
1505240.0,361880.0,0.6532,300.58,72.29
1505240.0,363000.0,0.9446,300.72,75.71
1505240.0,364120.0,0.1501,300.87,79.26
1505240.0,365240.0,0.1771,301.02,82.74
1505240.0,366360.0,0.1518,301.15,85.95
1505240.0,367480.0,0.2216,301.27,88.7
1505240.0,368600.0,0.1305,301.35,90.79
1505240.0,369720.0,0.2096,301.4,92.02
1505240.0,370840.0,0.1752,301.41,92.22
1505240.0,371960.0,0.1223,301.38,91.4
1505240.0,373080.0,0.2336,301.31,89.76
1505240.0,374200.0,0.158,301.22,87.5
1505240.0,375320.0,0.349,301.1,84.84
1505240.0,376440.0,0.1743,300.98,81.99
1504120.0,304760.0,0.3889,297.73,4.19
1504120.0,305880.0,0.1123,297.83,6.57
